exercice,niveau,groupe_musculaire,materiel,zone_du_corps
Single Arm Dumbbell Seated Cuban Press,débutant,épaules,Dumbbell,haut du corps
Landmine Zercher Curtsy Lunge,intermédiaire,quadriceps,landmine,bas du corps
Barbell Back Rack Alternating Cossack Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Alternating Cossack Squat,intermédiaire,quadriceps,Barbell,bas du corps
Kettlebell Goblet Alternating Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Dumbbell Goblet Alternating Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Bodyweight Alternating Cossack Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Knee Over Toes Split Squat ,débutant,quadriceps,Bodyweight,bas du corps
Barbell Back Rack Knee Over Toes Split Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Knee Over Toes Split Squat,intermédiaire,quadriceps,Barbell,bas du corps
Single Arm Barbell Overhead Press,intermédiaire,épaules,Barbell,haut du corps
Slider Knee Tuck,débutant,abdominaux,disques de glisse,sangle abdominale
Bodyweight Wall Facing Handstand,débutant,épaules,Bodyweight,haut du corps
Bodyweight Freestanding Handstand ,avancé,épaules,Bodyweight,haut du corps
Suspension Atomic Push Up,intermédiaire,pectoraux,sangles de suspension,haut du corps
Suspension Pike,intermédiaire,abdominaux,sangles de suspension,sangle abdominale
Suspension Side Plank Reach Through,avancé,abdominaux,sangles de suspension,sangle abdominale
Bodyweight Cocoon Crunch,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Ab Wheel Standing Rollout,intermédiaire,abdominaux,roue abdominale,sangle abdominale
Cable Fire Hydrant,débutant,fessiers,Cable,bas du corps
Cable Tall Kneeling Pull Through,débutant,fessiers,Cable,bas du corps
Stability Ball Bent Knee Reverse Hyperextension,débutant,fessiers,Stability Ball,bas du corps
Bodyweight Bent Knee Reverse Hyperextension on Bench,débutant,fessiers,Bodyweight,bas du corps
Parallette Tuck L Sit,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Parallette Close Grip Push Up,intermédiaire,triceps,barres parallèles,haut du corps
Parallette Single Leg L Sit,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Stability Ball Windshield Wiper,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Tall Kneeling Balance,intermédiaire,abdominaux,Stability Ball,sangle abdominale
Stability Ball Oblique Crunch ,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Elbow Plank,débutant,abdominaux,Stability Ball,sangle abdominale
Double Kettlebell Feet Elevated Push Up,intermédiaire,pectoraux,Kettlebell,haut du corps
Single Arm Kettlebell Turkish Sit Up,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Single Arm Dumbbell Turkish Sit Up,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Single Arm Landmine Turkish Sit Up,intermédiaire,abdominaux,landmine,sangle abdominale
Double Kettlebell Turkish Sit Up,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Dumbbell Turkish Sit Up,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Double Kettlebell Turkish Sit Up to Z Press,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Front Rack Alternating Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Dumbbell Front Rack Alternating Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Double Kettlebell Swing,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Front Rack Squat,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Squat,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Contralateral Split Squat,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Carry,débutant,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Front Rack Alternating Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Squat Clean,intermédiaire,fessiers,Kettlebell,corps entier
Bodyweight Archer Push Up,intermédiaire,pectoraux,Bodyweight,haut du corps
Parallette Archer Push Up,intermédiaire,pectoraux,barres parallèles,haut du corps
Parallette Wide Push Up,débutant,pectoraux,barres parallèles,haut du corps
Double Dumbbell Suitcase Knee Over Toes Split Squat,débutant,quadriceps,Dumbbell,bas du corps
Alternating Double Dumbbell Front Raise,débutant,épaules,Dumbbell,haut du corps
Barbell Front Raise,débutant,épaules,Barbell,haut du corps
Single Arm Cable Front Raise,débutant,épaules,Cable,haut du corps
Cable Straight Bar Front Raise,débutant,épaules,Cable,haut du corps
Cable Half Kneeling Pallof Press,débutant,abdominaux,Cable,sangle abdominale
Kettlebell Bottoms Up Horn Grip Standing Bicep Curl,débutant,biceps,Kettlebell,haut du corps
Single Arm Kettlebell Bottoms Up Front Rack Carry,intermédiaire,abdominaux,Kettlebell,corps entier
Double Kettlebell Bottoms Up Front Rack Carry,intermédiaire,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Barbell Kneeling Rollout,intermédiaire,abdominaux,Barbell,sangle abdominale
Barbell Close Grip Bench Press,débutant,triceps,Barbell,haut du corps
Single Arm Suspension Chest Press,intermédiaire,pectoraux,sangles de suspension,haut du corps
Cable Tall Kneeling Pallof Press,débutant,abdominaux,Cable,sangle abdominale
Single Arm Cable Bicep Curl,débutant,biceps,Cable,haut du corps
Single Arm Cable Shotgun Row,débutant,dos,Cable,haut du corps
Barbell Hang Power Clean,intermédiaire,fessiers,Barbell,corps entier
Landmine Goblet Alternating Cossack Squat,intermédiaire,quadriceps,landmine,bas du corps
Landmine Low Hold Alternating Cossack Squat,intermédiaire,quadriceps,landmine,bas du corps
Ring Shoulder Stand,intermédiaire,épaules,anneaux de gymnastique,haut du corps
Ring Strap Handstand,intermédiaire,épaules,anneaux de gymnastique,haut du corps
Ring Handstand,intermédiaire,épaules,anneaux de gymnastique,haut du corps
Bodyweight Pike Headstand Push Up,intermédiaire,épaules,Bodyweight,haut du corps
Ring Bulgarian Handstand Push Up,avancé,épaules,anneaux de gymnastique,haut du corps
Ring Strap Handstand Push Up,intermédiaire,épaules,anneaux de gymnastique,haut du corps
Ring Freestanding Handstand Push Up,avancé,épaules,anneaux de gymnastique,haut du corps
Bodyweight Bent Arm Press Handstand,avancé,épaules,Bodyweight,haut du corps
Parallette L Sit to Bent Arm Press Handstand,avancé,épaules,barres parallèles,haut du corps
Ring Bent Arm Bent Body Press Handstand,avancé,épaules,anneaux de gymnastique,haut du corps
Bodyweight Wall Eccentric Straddle Press Handstand,avancé,épaules,Bodyweight,haut du corps
Parallette L Sit to Straddle Press Handstand,intermédiaire,épaules,barres parallèles,haut du corps
Parallette L Sit to Pike Press Handstand,intermédiaire,épaules,barres parallèles,haut du corps
Bodyweight Tuck L Sit,avancé,abdominaux,Bodyweight,sangle abdominale
Parallette Straddle L Sit,avancé,abdominaux,barres parallèles,sangle abdominale
Ring Skin The Cat,intermédiaire,épaules,anneaux de gymnastique,haut du corps
Bodyweight Manna ,avancé,abdominaux,Bodyweight,
Ring Tuck Back Lever,avancé,abdominaux,anneaux de gymnastique,
Ring Advanced Tuck Back Lever,avancé,abdominaux,anneaux de gymnastique,
Ring Straddle Back Lever,intermédiaire,abdominaux,anneaux de gymnastique,
Ring Full Back Lever,intermédiaire,abdominaux,anneaux de gymnastique,
Ring Back Lever Pullout,avancé,abdominaux,anneaux de gymnastique,haut du corps
Ring German Hang Pullout,avancé,abdominaux,anneaux de gymnastique,haut du corps
Ring Tuck Front Lever,avancé,abdominaux,anneaux de gymnastique,
Ring Advanced Tuck Front Lever,avancé,abdominaux,anneaux de gymnastique,
Ring Straddle Front Lever,avancé,abdominaux,anneaux de gymnastique,
Ring Full Front Lever,intermédiaire,abdominaux,anneaux de gymnastique,
Ring Inverted Hang,avancé,abdominaux,anneaux de gymnastique,
Single Arm Barbell Kneeling Rollout,intermédiaire,abdominaux,Barbell,sangle abdominale
Ring Tuck Front Lever Pull Up,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring Full Front Lever Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Ring Row Feet Elevated,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring Bulgarian Row Feet Elevated,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring L Sit Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Ring Bulgarian Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Ring Bulgarian L Sit Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Ring Plank,débutant,abdominaux,anneaux de gymnastique,sangle abdominale
Single Arm Ring Plank,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Push Up,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Single Arm Ring Push Up,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Ring Support Hold,intermédiaire,abdominaux,anneaux de gymnastique,
Ring Side Plank,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Ring L Sit Muscle Up,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring Strict Muscle Up,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring Chest Fly,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Single Arm Barbell Bicep Curl,avancé,biceps,Barbell,haut du corps
Bodyweight Hollow Rock ,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Single Arm Dumbbell Power Snatch,intermédiaire,fessiers,Dumbbell,corps entier
Alternating Single Arm Dumbbell Power Snatch,intermédiaire,fessiers,Dumbbell,corps entier
Single Arm Dumbbell Squat Snatch,intermédiaire,fessiers,Dumbbell,corps entier
Alternating Single Arm Dumbbell Squat Snatch,intermédiaire,fessiers,Dumbbell,corps entier
Single Arm Cable Single Leg Romanian Deadlift,intermédiaire,ischio-jambiers,Cable,bas du corps
Double Kettlebell Single Leg Romanian Deadlift ,intermédiaire,ischio-jambiers,Kettlebell,bas du corps
Double Kettlebell Romanian Deadlift ,débutant,ischio-jambiers,Kettlebell,bas du corps
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,intermédiaire,ischio-jambiers,Kettlebell,bas du corps
Cable Wide Grip Lat Pulldown,débutant,dos,Cable,haut du corps
Cable Reverse Grip Lat Pulldown,débutant,dos,Cable,haut du corps
Cable Seated V Grip Lat Pulldown,débutant,dos,Cable,haut du corps
Cable Half Kneeling Face Pull,débutant,épaules,Cable,haut du corps
Double Dumbbell Seated Good Morning,débutant,dos,Dumbbell,
Bodyweight Hip Thrust,débutant,fessiers,Bodyweight,bas du corps
Single Arm Kettlebell Bottoms Up Overhead Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Dumbbell Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Double Dumbbell Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Double Dumbbell Incline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Stability Ball Dumbbell W Raise,débutant,épaules,Stability Ball,haut du corps
Double Kettlebell Z Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Clean,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Push Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Split Jerk,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Clean and Jerk,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell High Pull,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Sumo Deadlift,débutant,dos,Kettlebell,corps entier
Double Kettlebell Bent Over Row,débutant,dos,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Front Rack Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Knee Over Toes Split Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Thruster,débutant,épaules,Kettlebell,corps entier
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Tall Kneeling Overhead Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Front Rack Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Overhead Walking Lunge,avancé,quadriceps,Kettlebell,bas du corps
Alternating Double Kettlebell Sots Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Shrug,débutant,Trapezius ,Kettlebell,haut du corps
Double Kettlebell Hang Squat Clean,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Hollow Hold,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Hollow Hold With Flutter Kick,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Dead Clean to Push Press,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Pendlay Row,débutant,dos,Kettlebell,haut du corps
Double Kettlebell Front Rack Split Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Overhead Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Half Kneeling Overhead Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Front Rack Cyclist Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Box Step Up,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Rotational Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Sumo Deadlift,débutant,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Push Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Push Jerk,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Seated Overhead Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Z Press,intermédiaire,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Contralateral Split Squat Thruster,intermédiaire,épaules,Kettlebell,corps entier
Kettlebell Swing,débutant,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Swing,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Clean,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Sots Press,intermédiaire,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Staggered Stance Swing,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Staggered Stance Swing,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Swing,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Outside Swing,débutant,fessiers,Kettlebell,corps entier
Double Kettlebell Outside Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Outside Clean,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Side Swing,intermédiaire,abdominaux,Kettlebell,corps entier
Parallette Push Up With Alternating Shoulder Taps,intermédiaire,pectoraux,barres parallèles,haut du corps
Parallette Tuck Planche,avancé,abdominaux,barres parallèles,sangle abdominale
Parallette Dive Bomber Push Up,intermédiaire,pectoraux,barres parallèles,haut du corps
Bodyweight Dive Bomber Push Up,intermédiaire,pectoraux,Bodyweight,haut du corps
Parallette L Sit to Tuck Planche,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Double Dumbbell Prone Row,débutant,dos,Dumbbell,haut du corps
Landmine Standing Oblique Twist,intermédiaire,abdominaux,landmine,sangle abdominale
Cable Tall Kneeling High to Low Chop,intermédiaire,abdominaux,Cable,sangle abdominale
Single Arm Parallette Plank,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Single Arm Suspension Plank,intermédiaire,abdominaux,sangles de suspension,sangle abdominale
Battle Rope Russian Twist,débutant,abdominaux,cordes ondulatoires,sangle abdominale
Bodyweight Bird Dog Knee to Elbow,débutant,abdominaux,Bodyweight,sangle abdominale
Slam Ball Russian Twist Feet Elevated,intermédiaire,abdominaux,slam ball,sangle abdominale
Medicine Ball Russian Twist Feet Elevated,débutant,abdominaux,medecine ball,sangle abdominale
Kettlebell Feet Elevated Russian Twist,débutant,abdominaux,Kettlebell,sangle abdominale
Parallette Plank Alternating Knee to Elbow,débutant,abdominaux,barres parallèles,sangle abdominale
Bodyweight Forearm Plank Knee to Elbow,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Bodyweight Loaded Beast to Alternating Kick Through,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Ring False Grip Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Single Arm Kettlebell Clean to Press Windmill,avancé,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Windmill,avancé,abdominaux,Kettlebell,sangle abdominale
Battle Rope Russian Twist Feet Elevated,intermédiaire,abdominaux,cordes ondulatoires,sangle abdominale
Superband Dead Bug,débutant,abdominaux,super élastique,sangle abdominale
Parallette V Sit,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Parallette Tuck V Sit,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Barbell Staggered Stance Push Press,intermédiaire,épaules,Barbell,haut du corps
Double Kettlebell Front Rack Skater Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Kettlebell Goblet Skater Squat,avancé,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Box Pistol Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Pistol Squat,avancé,quadriceps,Kettlebell,bas du corps
Double Kettlebell Overhead Alternating Reverse Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Superband Standing Pallof Press,débutant,abdominaux,super élastique,sangle abdominale
Superband Half Kneeling Pallof Press,débutant,abdominaux,super élastique,sangle abdominale
Superband Hip External Rotation (90 Degree),débutant,fessiers,super élastique,bas du corps
Barbell Prone Row,débutant,dos,Barbell,haut du corps
Double Dumbbell Renegade Row Push Up,intermédiaire,dos,Dumbbell,haut du corps
Single Arm Landmine Row to Rotational Press,intermédiaire,épaules,landmine,corps entier
Bodyweight Hand Assisted Skater Squat,débutant,quadriceps,Bodyweight,bas du corps
Superband Pull Through,débutant,fessiers,super élastique,bas du corps
Miniband Quadruped Hip Extension,débutant,fessiers,mini élastique,bas du corps
Cable Hip Adduction,débutant,adducteurs,Cable,bas du corps
Superband Tall Kneeling Pallof Press,débutant,abdominaux,super élastique,sangle abdominale
Slider Eccentric Hamstring Curl,débutant,ischio-jambiers,disques de glisse,bas du corps
Landmine Low Hold Lateral Lunge,débutant,quadriceps,landmine,bas du corps
Double Kettlebell Renegade Row ,intermédiaire,dos,Kettlebell,haut du corps
Single Arm Dumbbell Cuban Press,débutant,épaules,Dumbbell,haut du corps
Barbell Supinated Shoulder Front Raise,intermédiaire,épaules,Barbell,haut du corps
Ring Pike Feet Elevated Handstand Push Up,avancé,épaules,anneaux de gymnastique,haut du corps
Parallette Straddle Press to Handstand,intermédiaire,épaules,barres parallèles,haut du corps
Ring L Sit,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Tuck Back Lever With Alternating Single Leg Extensions,avancé,abdominaux,anneaux de gymnastique,haut du corps
Ring Tuck Front Lever With Alternating Single Leg Extensions,avancé,abdominaux,anneaux de gymnastique,haut du corps
Single Arm Kettlebell Hollow Body Hold With Flutter Kicks,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Front Rack Cyclist Squat,débutant,quadriceps,Kettlebell,bas du corps
Barbell Back Rack Cyclist Squat,intermédiaire,quadriceps,Barbell,bas du corps
Inverted Crunch With Gravity Boots,avancé,abdominaux,Bodyweight,sangle abdominale
Double Kettlebell Renegade Row Push Up,intermédiaire,dos,Kettlebell,haut du corps
Single Arm Kettlebell Bird Dog Row,intermédiaire,dos,Kettlebell,haut du corps
Barbell Back Rack Box Step Up,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Box Step Up,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Standing Rollout,avancé,abdominaux,Barbell,sangle abdominale
Stability Ball Cable Russian Twist,débutant,abdominaux,Stability Ball,sangle abdominale
Miniband Frog Pump,débutant,fessiers,mini élastique,bas du corps
Bodyweight Fire Hydrant,débutant,fessiers,Bodyweight,bas du corps
Bodyweight Knee Hover Quadruped Fire Hydrant,intermédiaire,fessiers,Bodyweight,bas du corps
Barbell Seated Reverse Wrist Curl,intermédiaire,avant-bras,Barbell,haut du corps
Bodyweight Seated Wall Angels,débutant,épaules,Bodyweight,haut du corps
Bodyweight Bent Knee Copenhagen Plank Side Raise,intermédiaire,adducteurs,Bodyweight,bas du corps
Bodyweight Kneeling Side Plank,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Hand Assisted Hip Airplane,débutant,fessiers,Bodyweight,bas du corps
Superband Single Leg Ankle Dorsiflexion,débutant,,super élastique,bas du corps
Barbell Zercher Squat,avancé,quadriceps,Barbell,bas du corps
Barbell Squat Snatch,intermédiaire,fessiers,Barbell,corps entier
Barbell Push Jerk,intermédiaire,fessiers,Barbell,corps entier
Barbell Clean and Jerk,intermédiaire,fessiers,Barbell,corps entier
Barbell Incline Bench Press,débutant,pectoraux,Barbell,haut du corps
Barbell Hang Squat Clean Thruster,avancé,épaules,Barbell,corps entier
Barbell Squat Clean Thruster,avancé,épaules,Barbell,corps entier
Bodyweight Copenhagen Plank,débutant,adducteurs,Bodyweight,bas du corps
Bodyweight Bent Knee Copenhagen Plank,débutant,adducteurs,Bodyweight,bas du corps
Miniband Single Leg Hip Thrust,débutant,fessiers,mini élastique,bas du corps
Barbell Deficit Snatch Grip Deadlift,intermédiaire,dos,Barbell,corps entier
Single Arm Ring Eccentric Chin Up ,intermédiaire,biceps,anneaux de gymnastique,haut du corps
Bodyweight Hand Assisted Foot Elevated Knee Over Toes Split Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Foot Elevated Knee Over Toes Split Squat,débutant,quadriceps,Bodyweight,bas du corps
Double Kettlebell Clean to Overhead Press,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Bent Leg Windmill,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Kettlebell Alternating Halo to Goblet Squat,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Seesaw Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Side to Side Swing,intermédiaire,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Clean to Side Press,avancé,épaules,Kettlebell,haut du corps
Parallette Handstand,intermédiaire,épaules,barres parallèles,haut du corps
Parallette L Sit to Handstand,intermédiaire,épaules,barres parallèles,
Ring Straddle L Sit,intermédiaire,abdominaux,anneaux de gymnastique,
Parallette Stalder Press to Handstand,avancé,épaules,barres parallèles,haut du corps
Ring Gironda Sternum Chin Up,intermédiaire,biceps,anneaux de gymnastique,haut du corps
Ring Archer Push Up,avancé,pectoraux,anneaux de gymnastique,haut du corps
Single Arm Ring Chin Up,avancé,biceps,anneaux de gymnastique,haut du corps
Double Dumbbell Incline Bench Prone Y Raise,débutant,épaules,Dumbbell,haut du corps
Suspension Face Pull to Overhead Press,débutant,épaules,sangles de suspension,haut du corps
Superband Assisted Muscle Up,avancé,dos,super élastique,haut du corps
Stability Ball Sit Up,débutant,abdominaux,Stability Ball,sangle abdominale
Single Arm Kettlebell Bottoms Up Turkish Get Up,avancé,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Thruster,intermédiaire,épaules,Kettlebell,corps entier
Alternating Double Kettlebell Thruster,intermédiaire,épaules,Kettlebell,corps entier
Ring Scapular Pull Up,intermédiaire,dos,anneaux de gymnastique,haut du corps
Bodyweight Side Lying Hip Adduction,débutant,adducteurs,Bodyweight,bas du corps
Superband Hollow Body Hold,intermédiaire,abdominaux,super élastique,sangle abdominale
Suspension Y Raise,débutant,épaules,sangles de suspension,haut du corps
Slider Single Leg Eccentric Hamstring Curl ,intermédiaire,ischio-jambiers,disques de glisse,bas du corps
Barbell Reverse Grip Bench Press,intermédiaire,pectoraux,Barbell,haut du corps
Double Dumbbell Reverse Grip Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Side Plank Superband Hanging Adduction,intermédiaire,adducteurs,super élastique,bas du corps
Single Arm Cable Seated Floor Lat Pulldown,débutant,dos,Cable,haut du corps
Single Arm Resistance Band Half Kneeling Cuban Press,débutant,épaules,Resistance Band,haut du corps
Stability Ball Feet Elevated Frog Pump,débutant,fessiers,Stability Ball,bas du corps
Single Arm Kettlebell Bottoms Up Clean to Overhead Press,intermédiaire,épaules,Kettlebell,corps entier
Barbell Front Rack Cyclist Squat,intermédiaire,quadriceps,Barbell,bas du corps
Single Arm Kettlebell Overhead Cyclist Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Dumbbell Cuban Press,débutant,épaules,Dumbbell,haut du corps
Single Arm Kettlebell Tactical Snatch,avancé,fessiers,Kettlebell,corps entier
Alternating Single Arm Landmine Thruster,intermédiaire,épaules,landmine,corps entier
Single Arm Dumbbell Cyclist Thruster,intermédiaire,épaules,Dumbbell,corps entier
Single Arm Kettlebell Snatch to Overhead Reverse Lunge,avancé,quadriceps,Kettlebell,corps entier
Single Arm Kettlebell Clean to Front Rack Reverse Lunge,avancé,quadriceps,Kettlebell,corps entier
Double Kettlebell Clean to Front Rack Reverse Lunge,intermédiaire,quadriceps,Kettlebell,corps entier
Single Arm Kettlebell Split Jerk,avancé,quadriceps,Kettlebell,corps entier
Alternating Single Arm Kettlebell Split Jerk,avancé,quadriceps,Kettlebell,corps entier
Double Kettlebell Bottoms Up Overhead Squat,avancé,quadriceps,Kettlebell,bas du corps
Double Kettlebell Bottoms Up Thruster,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Bottoms Up Z Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Z Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Sots Press,intermédiaire,épaules,Kettlebell,haut du corps
Alternating Double Kettlebell Sots Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Seesaw Sots Press,intermédiaire,épaules,Kettlebell,haut du corps
Alternating Double Kettlebell Z Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Seesaw Z Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Seesaw Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Snatch,avancé,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Around the World High Catch,intermédiaire,abdominaux,Kettlebell,
Single Arm Kettlebell Around the World,débutant,abdominaux,Kettlebell,
Alternating Single Arm Kettlebell Around the World,débutant,abdominaux,Kettlebell,
Single Arm Kettlebell Tall Kneeling Around the World,débutant,abdominaux,Kettlebell,
Single Arm Kettlebell Waiter Clean,avancé,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Waiter Clean Hot Potato,avancé,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Waiter Clean,avancé,fessiers,Kettlebell,corps entier
Double Kettlebell Waiter Clean,avancé,fessiers,Kettlebell,corps entier
Double Kettlebell Waiter Clean to Overhead Press,avancé,fessiers,Kettlebell,corps entier
